"GEONAME
ID","GEO
NAME","GEO
ASCII
name","GEO
ALTERNATE
names",LATITUDE,LONGITUDE,"FEATURE
CLASS","FEATURE CLASS
DESCRIPTION","FEATURE
CODE","FEATURE CODE
DESCRIPTION","COUNTRY
CODE",CC2,"ADMIN 1
code","ADMIN 2
code","ADMIN 3
code","ADMIN 4
code",POPULATION,ELEVATION,"Digital
Elevation Model",TIMEZONE,"MODIFICATION
DATE"
290149,RaвЂ™s al Qurayn,Ra's al Qurayn,"Ra's al Qurayn,Ras al Qarain,RaвЂ™s al Qurayn,ras aalqurayn,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„Щ’Щ‚ЩЏШ±ЩЋЩЉЩ’Щ†",25.93528,50.61306,T,"mountain,hill,rock,... ",PT,point,BH,,17,,,,0,,1,Asia/Bahrain,1/18/12
290150,QulayвЂah Rock,Qulay`ah Rock,"Kalaia Rock,Qulay`ah Rock,QulayвЂah Rock",26.41667,50.51667,T,"mountain,hill,rock,... ",RK,rock,BH,,2,,,,0,,-9999,Asia/Bahrain,1/18/12
290159,RaвЂ™s QalДЃlД«,Ra's Qalali,"Ra's Qalali,Ras Galai,RaвЂ™s QalДЃlД«,ras qalaali,Ш±ЩЋШЈЩ’Ші Щ‚ЩЋЩ„Ш§ЩЋЩ„ЩђЩЉ",26.27083,50.65528,T,"mountain,hill,rock,... ",PT,point,BH,,15,,,,0,,7,Asia/Bahrain,1/18/12
290161,RaвЂ™s al QalвЂah,Ra's al Qal`ah,"Ra's al Qal`ah,Ras al Qala'a,Ras al QalaвЂ™a,RaвЂ™s al QalвЂah,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„Щ’Щ‚ЩЋЩ„Щ’Ш№ЩЋШ©",26.23556,50.51861,T,"mountain,hill,rock,... ",PT,point,BH,,16,,,,0,,3,Asia/Bahrain,5/6/15
290164,QaЕџЕџДЃr NЕ«n,Qassar Nun,"Qassar Nun,QaЕџЕџДЃr NЕ«n,qasaar nun,Щ‚ЩЋШµЩЋЩ‘Ш§Ш± Щ†ЩЏЩ€Щ†",25.78861,50.60306,T,"mountain,hill,rock,... ",ISL,island,BH,,13,,,,0,,-9999,Asia/Bahrain,1/18/12
290165,бёЁДЃlat NЕ«n,Halat Nun,"Halat Nun,halat nun,Ш­ЩЋШ§Щ„ЩЋШ© Щ†ЩЏЩ€Щ†,бёЁДЃlat NЕ«n",25.77528,50.59833,T,"mountain,hill,rock,... ",ISL,island,BH,,13,,,,0,,-9999,Asia/Bahrain,1/18/12
290166,RaвЂ™s an NiqДЃh,Ra's an Niqah,"Ra's al Niqah,Ra's an Niqah,RaвЂ™s al NiqДЃh,RaвЂ™s an NiqДЃh,ras aalniqah,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„Щ†ЩђЩ‘Щ‚ЩЋШ§Щ‡",25.86889,50.60556,T,"mountain,hill,rock,... ",SPIT,spit,BH,,17,,,,0,,2,Asia/Bahrain,1/18/12
290167,RaвЂ™s Nawmah,Ra's Nawmah,"Ra's Nawmah,Ra's Numah,Ras Noma,Ras Nomah,RaвЂ™s Nawmah,RaвЂ™s NЕ«mah,RДЃs Nomah,ras nawmat,Ш±ЩЋШЈЩ’Ші Щ†ЩЋЩ€Щ’Щ…ЩЋШ©",25.98639,50.45778,T,"mountain,hill,rock,... ",PT,point,BH,,17,,,,0,,-9999,Asia/Bahrain,1/18/12
290169,JazД«rat an NabД« ЕћДЃliбё©,Jazirat an Nabi Salih,"Al-Nabih Salih,Al-NabД«h ЕћДЃliбё©,An Nabi Salih,An Nabih Salih,An NabД« ЕћДЃliбё©,An NabД«h SДЃliбё©,Djezire Nabi Sali,Djezire Nebi Sali,Jazirat an Nabi Salih,JazД«rat an NabД« ЕћДЃliбё©,Nabbi Salih Island,Nabi Salib Island,Nabih Salih,Nebbi Salih,Nebi Saleh,jazirat aalnabi salih,Ш¬ЩЋШІЩђЩЉШ±ЩЋШ© Ш§ЩЋЩ„Щ†ЩЋЩ‘ШЁЩђЩЉ ШµЩЋШ§Щ„ЩђШ­",26.18212,50.58562,T,"mountain,hill,rock,... ",ISL,island,BH,,16,,,,0,,4,Asia/Bahrain,11/8/17
290170,Muбё©azwarah Island,Muhazwarah Island,"Mahazwarat Island,Muhazwara Island,Muhazwarah Island,Muбё©azwarah Island",25.66667,50.78333,T,"mountain,hill,rock,... ",ISL,island,BH,,17,,,,0,,-9999,Asia/Bahrain,1/18/12
290171,JazД«rat al Muбё©arraq,Jazirat al Muharraq,"Al Muharraq,Al Muбё©arraq,Al-Muharrak,Al-Muбё©arrak,Jazirat al Muharraq,JazД«rat al Muбё©arraq,Muharraq Island,`Arad,jazirat aalmuharaq,Ш¬ЩЋШІЩђЩЉШ±ЩЋШ© Ш§ЩЋЩ„Щ’Щ…ЩЏШ­ЩЋШ±ЩЋЩ‘Щ‚,вЂArad",26.27139,50.63028,T,"mountain,hill,rock,... ",ISL,island,BH,,15,,,,0,,8,Asia/Bahrain,1/18/12
290173,JazД«rat MashtДЃn,Jazirat Mashtan,"Jazirat Mashtan,JazД«rat MashtДЃn,jazirat mashtan,Ш¬ЩЋШІЩђЩЉШ±ЩЋШ© Щ…ЩЋШґЩ’ШЄЩЋШ§Щ†",25.80773,50.68225,T,"mountain,hill,rock,... ",ISL,island,BH,,9,,,,0,,-9999,Asia/Bahrain,8/3/16
290182,RaвЂ™s al MamЕЈalah,Ra's al Mamtalah,"Ra's al M'ttalah,Ra's al Mamtalah,Ra's al Matallah,Ra's al Mumattalah,Ra's al Mutallah,Ras al Mattala,Ras al Muttala,RaвЂ™s al MamЕЈalah,RaвЂ™s al MaЕЈallah,RaвЂ™s al MumaЕЈЕЈalah,RaвЂ™s al MuЕЈallah,RaвЂ™s al MвЂ™ЕЈЕЈalah,ras aalmamtalat,ras almtlt,Ш±ШЈШі Ш§Щ„Щ…Ш·Щ„Ш©,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„Щ’Щ…ЩЋЩ…Щ’Ш·ЩЋЩ„ЩЋШ©",25.89888,50.51626,T,"mountain,hill,rock,... ",CAPE,cape,BH,,17,,,,0,,1,Asia/Bahrain,11/8/17
290189,Jabal LughaybirДЃt,Jabal Lughaybirat,"Jabal Lughaybirat,Jabal LughaybirДЃt,jabal lughaybirat,Ш¬ЩЋШЁЩЋЩ„ Щ„ЩЏШєЩЋЩЉЩ’ШЁЩђШ±ЩЋШ§ШЄ",26.05833,50.54833,T,"mountain,hill,rock,... ",HLL,hill,BH,,,,,,0,,77,Asia/Bahrain,8/6/13
290190,LiyДЃ,Liya,"Liya,LiyДЃ,lia,Щ„ЩђЩЉЩЋШ§",26.26056,50.51639,T,"mountain,hill,rock,... ",RK,rock,BH,,5,,,,0,,-9999,Asia/Bahrain,1/18/12
290195,QaЕџЕџДЃr KhuЕџayfah,Qassar Khusayfah,"Jazirat Khasaifa,Jazirat Khusayfah,JazД«rat Khasaifa,JazД«rat KhuЕџayfah,Khasaifa Island,Qassar Khusayfah,QaЕџЕџДЃr KhuЕџayfah,qasaar khusayfat,Щ‚ЩЋШµЩЋЩ‘Ш§Ш± Ш®ЩЏШµЩЋЩЉЩ’ЩЃЩЋШ©",26.29194,50.6225,T,"mountain,hill,rock,... ",ISL,island,BH,BH,15,,,,0,,-9999,Asia/Bahrain,1/18/12
290208,Juzayyirah,Juzayyirah,"Jazaiyira,Jazaiyra,Juzayirah,Juzayyirah,juzayirat,Ш¬ЩЏШІЩЋЩЉЩђЩ‘Ш±ЩЋШ©",26.19028,50.58472,T,"mountain,hill,rock,... ",ISL,island,BH,,16,,,,0,,5,Asia/Bahrain,1/18/12
290209,RaвЂ™s al Jusayrah,Ra's al Jusayrah,"Ra's al Jaza'ir,Ra's al Jusayrah,Ras Jasaira,RaвЂ™s al JazДЃвЂ™ir,RaвЂ™s al Jusayrah,ras aaljusayrat,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„Щ’Ш¬ЩЏШіЩЋЩЉЩ’Ш±ЩЋШ©",25.88333,50.6,T,"mountain,hill,rock,... ",PT,point,BH,,17,,,,0,,4,Asia/Bahrain,1/18/12
290211,QaЕџЕџДЃr JurdД«,Qassar Jurdi,"Jardi,Jazirat Jurdi,JazД«rat JurdД«,Jurdi Rock,Qassar Jurdi,QaЕџЕџДЃr JurdД«,qasaar jurdi,Щ‚ЩЋШµЩЋЩ‘Ш§Ш± Ш¬ЩЏШ±Щ’ШЇЩђЩЉ",26.29092,50.66471,T,"mountain,hill,rock,... ",ISL,island,BH,,15,,,,0,,-9999,Asia/Bahrain,11/8/17
290213,RaвЂ™s al Jufayr,Ra's al Jufayr,"Ra's Qazqaz,Ra's al Jasrah,Ra's al Jufayr,Ras al Jasra,Ras al Jufair,RaвЂ™s Qazqaz,RaвЂ™s al Jasrah,RaвЂ™s al Jufayr,ras aaljufayr,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„Щ’Ш¬ЩЏЩЃЩЋЩЉЩ’Ш±",26.21472,50.61222,T,"mountain,hill,rock,... ",PT,point,BH,,16,,,,0,,5,Asia/Bahrain,1/18/12
290219,Jiddah,Jiddah,"Cliff Island,Djida,DjidДЃ,Jazirat Jidi,JazД«rat Jidi,Jeddah,Jida Island,Jiddah,jidat,Ш¬ЩђШЇЩЋЩ‘Ш©",26.19417,50.40167,T,"mountain,hill,rock,... ",ISL,island,BH,,18,,,,0,,10,Asia/Bahrain,8/6/13
290220,RaвЂ™s al JazДЃвЂ™ir,Ra's al Jaza'ir,"Ra's al Jaza'ir,Ras al Jazayir,RaвЂ™s al JazДЃвЂ™ir,ras aaljazayir,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„Щ’Ш¬ЩЋШІЩЋШ§Ш¦ЩђШ±",25.96167,50.45667,T,"mountain,hill,rock,... ",PT,point,BH,,17,,,,0,,3,Asia/Bahrain,1/18/12
290222,RaвЂ™s al Jasrah,Ra's al Jasrah,"Ra's al Jasrah,Ras Jasra,RaвЂ™s al Jasrah,ras aaljasrat,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„Щ’Ш¬ЩЋШіЩ’Ш±ЩЋШ©",26.16472,50.44722,T,"mountain,hill,rock,... ",PT,point,BH,,18,,,,0,,3,Asia/Bahrain,8/6/13
290225,Al QДЃrah al JanЕ«bД«yah,Al Qarah al Janubiyah,"Al Qar`ah al Janubiyah,Al Qarah Janubiyah,Al Qarah JanЕ«bД«yah,Al Qarah al Janubiyah,Al QarвЂah al JanЕ«bД«yah,Al QДЃrah al JanЕ«bД«yah,aalqarat aaljanubiat,Ш§ЩЋЩ„Щ’Щ‚ЩЋШ§Ш±ЩЋШ© Ш§ЩЋЩ„Щ’Ш¬ЩЋЩ†ЩЏЩ€ШЁЩђЩЉЩЋЩ‘Ш©",26.00917,50.56333,T,"mountain,hill,rock,... ",HLL,hill,BH,,17,,,,0,,54,Asia/Bahrain,2/2/12
290230,бёЁadd al Jamal,Hadd al Jamal,"Hadd al Jamal,Hadd al Yamal,Ra's Jamal,Ra's al Yaman,RaвЂ™s Jamal,RaвЂ™s al Yaman,had aaljamal,Ш­ЩЋШЇЩ‘ Ш§ЩЋЩ„Щ’Ш¬ЩЋЩ…ЩЋЩ„,бёЁadd al Jamal",25.85083,50.60778,T,"mountain,hill,rock,... ",PT,point,BH,,17,,,,0,,5,Asia/Bahrain,1/18/12
290232,JabbДЃrД«,Jabbari,"Jabbari,JabbДЃrД«,Yabberi Rock,jabaari,Ш¬ЩЋШЁЩЋЩ‘Ш§Ш±ЩђЩЉ",25.88278,50.64472,T,"mountain,hill,rock,... ",RK,rock,BH,,13,,,,0,,-9999,Asia/Bahrain,1/18/12
290235,QaЕџЕџДЃr вЂДЄsГЎ Bin Sayf al BinДЃlД«,Qassar `Isa Bin Sayf al Binali,"Qassar `Isa Bin Sayf al Binali,QaЕџЕџДЃr вЂДЄsГЎ Bin Sayf al BinДЃlД«,Щ‚ЩЋШµЩЋЩ‘Ш§Ш± Ш№ЩђЩЉШіЩЋЩ‰ ШЁЩђЩ† ШіЩЋЩЉЩ’ЩЃ Ш§ЩЋЩ„Щ’ШЁЩђЩ†ЩЋШ§Щ„ЩђЩЉ",26.18333,50.6,T,"mountain,hill,rock,... ",ISL,island,BH,,12,,,,0,,-9999,Asia/Bahrain,1/18/12
290237,Qarn IbrДЃhД«m,Qarn Ibrahim,"Qarn Ibrahim,Qarn IbrДЃhД«m,qarn aibrahim,Щ‚ЩЋШ±Щ’Щ† ШҐЩђШЁЩ’Ш±ЩЋШ§Щ‡ЩђЩЉЩ…",25.91417,50.55278,T,"mountain,hill,rock,... ",HLL,hill,BH,,17,,,,0,,39,Asia/Bahrain,1/18/12
290241,RaвЂ™s бёЁayyДЃn,Ra's Hayyan,"Ra's Hayyan,Ras Haiyan,Ras Sa'sa'ah,RaвЂ™s бёЁayyДЃn,RДЃs SaвЂ™saвЂ™ah,ras hayaan,Ш±ЩЋШЈЩ’Ші Ш­ЩЋЩЉЩЋЩ‘Ш§Щ†",26.04,50.63139,T,"mountain,hill,rock,... ",CAPE,cape,BH,,17,,,,0,,1,Asia/Bahrain,1/18/12
290243,JazД«rat бёЁawДЃr,Jazirat Hawar,"Djezira Hawar,Hawar I,Hawar Island,HawДЃr I,Howar,Jazirat Hawar,JazД«rat бёЁawДЃr,jazirat hawar,Ш¬ЩЋШІЩђЩЉШ±ЩЋШ© Ш­ЩЋЩ€ЩЋШ§Ш±",25.65508,50.75485,T,"mountain,hill,rock,... ",ISL,island,BH,,17,,,,0,,3,Asia/Qatar,11/8/17
290248,RaвЂ™s бёЁДЃlat Umm al Bayбё‘,Ra's Halat Umm al Bayd,"Ra's Halat Umm al Bayd,Ras Hala Umm al Baidh,Ras Halat Umm al Baidh,RaвЂ™s бёЁДЃlat Umm al Bayбё‘,ras halat aum aalbayd,Ш±ЩЋШЈЩ’Ші Ш­ЩЋШ§Щ„ЩЋШ© ШЈЩЏЩ…Щ‘ Ш§ЩЋЩ„Щ’ШЁЩЋЩЉЩ’Ш¶",26.11667,50.63333,T,"mountain,hill,rock,... ",PT,point,BH,,17,,,,0,,4,Asia/Bahrain,5/6/15
290261,Jabal ad DukhДЃn,Jabal ad Dukhan,"Jabal ad Dukhan,Jabal ad Dukhkhan,Jabal ad DukhkhДЃn,Jabal ad DukhДЃn,jabal aaldukhan,Ш¬ЩЋШЁЩЋЩ„ Ш§ЩЋЩ„ШЇЩЏЩ‘Ш®ЩЋШ§Щ†",26.03889,50.545,T,"mountain,hill,rock,... ",MT,mountain,BH,,17,,,,0,134,102,Asia/Bahrain,4/8/15
290262,RaвЂ™s DЕ«bДЃs,Ra's Dubas,"Ra's Dubas,RaвЂ™s DЕ«bДЃs,ras dubas,Ш±ЩЋШЈЩ’Ші ШЇЩЏЩ€ШЁЩЋШ§Ші",25.93333,50.46667,T,"mountain,hill,rock,... ",PT,point,BH,,17,,,,0,,-9999,Asia/Bahrain,1/18/12
290263,QaЕџЕџДЃr DД«wДЃn,Qassar Diwan,"Kassar Diwan,KassДЃr DД«wДЃn,Qassar Diwan,QaЕџЕџДЃr DД«wДЃn,qasaar diwan,Щ‚ЩЋШµЩЋЩ‘Ш§Ш± ШЇЩђЩЉЩ€ЩЋШ§Щ†",26.1825,50.66361,T,"mountain,hill,rock,... ",RK,rock,BH,BH,1,,,,0,,-9999,Asia/Bahrain,1/18/12
290265,Qurayn adh DhirbДЃn,Qurayn adh Dhirban,"Qurayn adh Dhirban,Qurayn adh DhirbДЃn,qurayn aaldhirban,Щ‚ЩЏШ±ЩЋЩЉЩ’Щ† Ш§ЩЋЩ„Ш°ЩђЩ‘Ш±Щ’ШЁЩЋШ§Щ†",25.93639,50.60278,T,"mountain,hill,rock,... ",HLL,hill,BH,,17,,,,0,,20,Asia/Bahrain,1/18/12
290266,бёЁadd ad DД«b,Hadd ad Dib,"Hadd ad Dib,Hadd adh Dhi'b,had aldiyb,Ш­ЩЋШЇЩ‘ Ш§Щ„ШЇЩђЩ‘ЩЉШЁ,бёЁadd ad DД«b,бёЁadd adh DhiвЂ™b",25.56176,50.79154,T,"mountain,hill,rock,... ",SPIT,spit,BH,,17,,,,0,,-9999,Asia/Qatar,7/3/15
290267,RaвЂ™s ad Dayr,Ra's ad Dayr,"Ra's ad Darr,Ra's ad Dayr,RaвЂ™s ad Darr,RaвЂ™s ad Dayr,ras aaldayr,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„ШЇЩЋЩ‘ЩЉЩ’Ш±",26.28278,50.61417,T,"mountain,hill,rock,... ",PT,point,BH,,15,,,,0,,6,Asia/Bahrain,1/18/12
290271,Fasht BЕ« Thawr,Fasht Bu Thawr,"Fasht Bu Thawr,Fasht BЕ« Thawr,fasht bu thawr,ЩЃЩЋШґЩ’ШЄ ШЁЩЏЩ€ Ш«ЩЋЩ€Щ’Ш±",25.8,50.76667,T,"mountain,hill,rock,... ",ISL,island,BH,,9,,,,0,,-9999,Asia/Bahrain,1/18/12
290272,RaвЂ™s al BusaytД«n,Ra's al Busaytin,"Ra's al Busaytin,Ras Busaitin,RaвЂ™s al BusaytД«n,ras aalbusaytin,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„Щ’ШЁЩЏШіЩЋЩЉЩ’ШЄЩђЩЉЩ†",26.27611,50.60972,T,"mountain,hill,rock,... ",PT,point,BH,,15,,,,0,,1,Asia/Bahrain,1/18/12
290273,Juzur BЕ« SadДЃd,Juzur Bu Sadad,"Busdad Island,Juzur Bu Sadad,Juzur BЕ« SadДЃd,juzur bu sadad,Ш¬ЩЏШІЩЏШ± ШЁЩЏЩ€ ШіЩЋШЇЩЋШ§ШЇ",25.624,50.78249,T,"mountain,hill,rock,... ",ISL,island,BH,,17,,,,0,,-9999,Asia/Qatar,8/3/16
290278,RaвЂ™s al BudayyiвЂ,Ra's al Budayyi`,"Ra's al Budayyi`,Ras Budaia,Ras Budaiya',RaвЂ™s al BudayyiвЂ,RДЃs BudaiyaвЂ™,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„Щ’ШЁЩЏШЇЩЋЩЉЩђЩ‘Ш№",26.20806,50.44667,T,"mountain,hill,rock,... ",PT,point,BH,,18,,,,0,,-9999,Asia/Bahrain,8/6/13
290281,RaвЂ™s Bin Anas,Ra's Bin Anas,"Ra's Bin Anas,Ras an Nannas,RaвЂ™s Bin Anas,ras bin aanas,Ш±ЩЋШЈЩ’Ші ШЁЩђЩ† ШЈЩЋЩ†ЩЋШі",26.23333,50.6,T,"mountain,hill,rock,... ",PT,point,BH,,16,,,,0,,3,Asia/Bahrain,1/18/12
290284,RaвЂ™s al Barr,Ra's al Barr,"Ra's Hadd al Bahrayn,Ra's al Barr,Ras al Bar,RaвЂ™s al Barr,RaвЂ™s бёЁadd al Baбё©rayn,ras aalbar,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„Щ’ШЁЩЋШ±Щ‘",25.80223,50.56509,T,"mountain,hill,rock,... ",PT,point,BH,,17,,,,0,,6,Asia/Bahrain,11/8/17
290289,Bahrain Islands,Bahrain Islands,"Bahrain Islands,Bahrein Islands,Illes de Bahrain,Jaza'ir al Bahrayn,JazДЃвЂ™ir al Baбё©rayn,Tylos,Tyros,jazayir aalbahrayn,Ш¬ЩЋШІЩЋШ§Ш¦ЩђШ± Ш§ЩЋЩ„Щ’ШЁЩЋШ­Щ’Ш±ЩЋЩЉЩ’Щ†",25.99028,50.55083,T,"mountain,hill,rock,... ",ISLS,islands,BH,,13,,,,0,,14,Asia/Bahrain,1/18/12
290290,бёЁadd al Baбё©rayn,Hadd al Bahrayn,"Hadd al Bahrayn,had aalbahrayn,Ш­ЩЋШЇЩ‘ Ш§ЩЋЩ„Щ’ШЁЩЋШ­Щ’Ш±ЩЋЩЉЩ’Щ†,бёЁadd al Baбё©rayn",25.79778,50.56667,T,"mountain,hill,rock,... ",SPIT,spit,BH,,17,,,,0,,-9999,Asia/Bahrain,1/18/12
290297,JazД«rat al вЂAzl,Jazirat al `Azl,"El Azil,Jazirat Umm ash Shujayrah,Jazirat al `Azl,JazД«rat Umm ash Shujayrah,JazД«rat al вЂAzl,Umm Shiyara,Umm ash Shiyaira,Umm ash-Shujaira,Uum ash Shiyaira,Ш¬ЩЋШІЩђЩЉШ±ЩЋШ© Ш§ЩЋЩ„Щ’Ш№ЩЋШІЩ’Щ„",26.21738,50.67019,T,"mountain,hill,rock,... ",ISLX,section of island,BH,,15,,,,0,,3,Asia/Bahrain,11/8/17
290310,Ar RumДЃnЕ«m,Ar Rumanum,"Ar Rumamin,Ar Rumanum,Ar RumДЃnЕ«m,aalrumanum,Ш§ЩЋЩ„Ш±ЩЏЩ‘Щ…ЩЋШ§Щ†ЩЏЩ€Щ…",26.05167,50.55111,T,"mountain,hill,rock,... ",HLL,hill,BH,,17,,,,0,,70,Asia/Bahrain,1/18/12
290320,An NuвЂayjДЃt,An Nu`ayjat,"An Nu`ayjat,An NuвЂayjДЃt,Na'aija,NaвЂ™aijДЃ,Ш§ЩЋЩ„Щ†ЩЏЩ‘Ш№ЩЋЩЉЩ’Ш¬ЩЋШ§ШЄ",26.23333,50.43333,T,"mountain,hill,rock,... ",RKS,rocks,BH,,10,,,,0,,-9999,Asia/Bahrain,1/18/12
290329,Al MuвЂtariбё‘,Al Mu`tarid,"Al Mu`tarid,Al MuвЂtariбё‘,Ш§ЩЋЩ„Щ’Щ…ЩЏШ№Щ’ШЄЩЋШ±ЩђШ¶",25.78401,50.70843,T,"mountain,hill,rock,... ",ISL,island,BH,,9,,,,0,,-9999,Asia/Qatar,8/3/16
290334,Al Muбё©ammadД«yah,Al Muhammadiyah,"Al Muhammadiyah,Al Muбё©ammadД«yah,Jazirat ar Raka,Jazirat ar Raqah,JazД«rat ar RakДЃ,JazД«rat ar Raqah,Raka Island,Umm Sabaan Island,Umm Saban,Umm as Sabban,Umm as Subban,Umm aЕџ ЕћabbДЃn,Umm-al-Subban,Umm-al-б№ўubbДЃn,aalmuhamadiat,Ш§ЩЋЩ„Щ’Щ…ЩЏШ­ЩЋЩ…ЩЋЩ‘ШЇЩђЩЉЩЋЩ‘Ш©",26.19944,50.43611,T,"mountain,hill,rock,... ",ISL,island,BH,,18,,,,0,,-9999,Asia/Bahrain,8/6/13
290349,Al JilвЂah,Al Jil`ah,"Al Jil`ah,Al JilвЂah,Ш§ЩЋЩ„Щ’Ш¬ЩђЩ„Щ’Ш№ЩЋШ©",25.98111,50.53083,T,"mountain,hill,rock,... ",HLL,hill,BH,,17,,,,0,,61,Asia/Bahrain,1/18/12
290355,Al бёЁЕ«l,Al Hul,"Al Hul,Al бёЁЕ«l,aalhul,Ш§ЩЋЩ„Щ’Ш­ЩЏЩ€Щ„",25.73917,50.55806,T,"mountain,hill,rock,... ",SPIT,spit,BH,,8,,,,0,,-9999,Asia/Bahrain,1/18/12
290357,Al Hayiya Island,Al Hayiya Island,"Al Hayiya Island,El Hayiya Island",25.69949,50.79979,T,"mountain,hill,rock,... ",ISL,island,BH,,17,,,,0,,6,Asia/Bahrain,8/3/16
290358,Jabal al бёЁasД«,Jabal al Hasi,"Jabal al Hasi,Jabal al Hassay,Jabal al бёЁasД«,jabal aalhasi,Ш¬ЩЋШЁЩЋЩ„ Ш§ЩЋЩ„Щ’Ш­ЩЋШіЩђЩЉ",26.08806,50.58889,T,"mountain,hill,rock,... ",HLL,hill,BH,,17,,,,0,,35,Asia/Bahrain,1/18/12
290372,Bahrain Island,Bahrain Island,"Al Bahrain,Al Bahrayn,Al Baбё©rain,Al Baбё©rayn,Awal,AwДЃl,Bahrain,Bahrain Island,Bahrayn,Bahrein,Bahrein Island,Bahreini saar,Bahreino sala,Ile de Bahrein,Illa de Bahrain,Isla de Barein,Isla de BarГ©in,aalbahrayn,jzyrt albhryn,ГЋle de BahreГЇn,Ш§ЩЋЩ„Щ’ШЁЩЋШ­Щ’Ш±ЩЋЩЉЩ’Щ†,Ш¬ШІЩЉШ±Ш© Ш§Щ„ШЁШ­Ш±ЩЉЩ†",26,50.55,T,"mountain,hill,rock,... ",ISL,island,BH,,13,,,,0,,30,Asia/Bahrain,11/8/17
290373,Al Awbayidh,Al Awbayidh,"Al Awbayidh,aalaawbayidh,Ш§ЩЋЩ„ШЈЩЋЩ€Щ’ШЁЩЋЩЉЩђШ°",26.03333,50.53333,T,"mountain,hill,rock,... ",HLL,hill,BH,,17,,,,0,,33,Asia/Bahrain,1/18/12
290380,RaвЂ™s al вЂAkr,Ra's al `Akr,"Ra's al `Akr,Ra's al `Aqr,Ras al Ikur,Ras al Ykur,RaвЂ™s al вЂAkr,RaвЂ™s al вЂAqr,Ш±ЩЋШЈЩ’Ші Ш§ЩЋЩ„Щ’Ш№ЩЋЩѓЩ’Ш±",26.14861,50.60944,T,"mountain,hill,rock,... ",PT,point,BH,,16,,,,0,,4,Asia/Bahrain,5/6/15
290381,JazД«rat вЂAjД«rah,Jazirat `Ajirah,"Ajaira Island,Ajirah,AjД«rah,Jabalat Ajirah,Jabalat AjД«rah,Jazirat `Ajirah,JazД«rat вЂAjД«rah,Ш¬ЩЋШІЩђЩЉШ±ЩЋШ© Ш№ЩЋШ¬ЩђЩЉШ±ЩЋШ©",25.74,50.82333,T,"mountain,hill,rock,... ",ISL,island,BH,,9,,,,0,,4,Asia/Bahrain,1/18/12
290383,Fasht Adham,Fasht Adham,"Adhom,Fasht Adham,fasht aadham,ЩЃЩЋШґЩ’ШЄ ШЈЩЋШ°ЩЋЩ…",26.03333,50.71667,T,"mountain,hill,rock,... ",ISL,island,BH,,13,,,,0,,-9999,Asia/Bahrain,1/18/12
290389,RaвЂ™s AbЕ« Ећubбё©,Ra's Abu Subh,"Ra's Abu Subh,RaвЂ™s AbЕ« Ећubбё©,ras aabu subh,Ш±ЩЋШЈЩ’Ші ШЈЩЋШЁЩЏЩ€ ШµЩЏШЁЩ’Ш­",26.22694,50.46111,T,"mountain,hill,rock,... ",PT,point,BH,,18,,,,0,,4,Asia/Bahrain,8/6/13
290390,QaЕџЕџДЃr AbЕ« ShДЃhД«n,Qassar Abu Shahin,"Bu Shanin,Jazirat Abu Shahin,JazД«rat AbЕ« ShДЃhД«n,Qassar Abu Shahin,QaЕџЕџДЃr AbЕ« ShДЃhД«n,qasaar aabu shahin,Щ‚ЩЋШµЩЋЩ‘Ш§Ш± ШЈЩЋШЁЩЏЩ€ ШґЩЋШ§Щ‡ЩђЩЉЩ†",26.235,50.66806,T,"mountain,hill,rock,... ",ISLX,section of island,BH,,1,,,,0,,-9999,Asia/Bahrain,11/8/17
290394,RaвЂ™s AbЕ« JarjЕ«r,Ra's Abu Jarjur,"Ra's Abu Jarjur,RaвЂ™s AbЕ« JarjЕ«r,ras aabu jarjur,Ш±ЩЋШЈЩ’Ші ШЈЩЋШЁЩЏЩ€ Ш¬ЩЋШ±Щ’Ш¬ЩЏЩ€Ш±",26.07083,50.62333,T,"mountain,hill,rock,... ",PT,point,BH,,17,,,,0,,3,Asia/Bahrain,1/18/12
290396,RaвЂ™s AbЕ« al Mawj,Ra's Abu al Mawj,"Moj,Ra's Abu al Mawj,Ras Abul Moj,RaвЂ™s AbЕ« al Mawj,ras aabu aalmawj,Ш±ЩЋШЈЩ’Ші ШЈЩЋШЁЩЏЩ€ Ш§ЩЋЩ„Щ’Щ…ЩЋЩ€Щ’Ш¬",26.01861,50.47222,T,"mountain,hill,rock,... ",PT,point,BH,,17,,,,0,,-9999,Asia/Bahrain,1/18/12
