,Year,Month,Start_Datetime,Restore_Datetime,Duration,Utility,NERC_Region,Area,Type,Loss_megawatts,Num_Customers_Affected
454,2017,8.0,2017-08-31 14:49:00,2017-08-31 17:14:00,145.0,Southern California Edison Co,WECC,CA: Los Angeles County,Load shedding of 100 Megawatts or more implemented under emergency operational policy-Severe Weather,100,0
455,2017,9.0,2017-09-01 15:41:00,2017-09-01 20:30:00,289.0,Southern California Edison Co,WECC,CA:,Load shedding of 100 Megawatts or more implemented under emergency operational policy-Severe Weather,337,0
456,2017,9.0,2017-09-09 00:00:00,,,Tampa Electric Company,FRCC,"FL: Hillsborough County, Pasco County, Polk County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",1275,425000
457,2017,9.0,2017-09-09 12:30:00,,,Florida Power & Light,FRCC,FL:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,3500000
458,2017,9.0,2017-09-10 18:35:00,2017-09-13 17:00:00,4225.0,Duke Energy Florida,FRCC,"FL: Alachua County, Bay County, Brevard County, Citrus County, Columbia County, Dixie County, Flagler County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Leon County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Po","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",4500,1000000
459,2017,9.0,2017-09-10 20:37:00,,,Seminole Electric Cooperative Inc,FRCC,FL:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,452555
460,2017,9.0,2017-09-11 00:30:00,,,Lakeland Electric,FRCC,FL:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",200,20000
461,2017,9.0,2017-09-11 02:27:00,2017-09-15 20:44:00,6857.0,Southern Company,SERC,GA:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",132,39659
462,2017,9.0,2017-09-11 12:55:00,2017-09-12 08:00:00,1145.0,South Carolina Electric and Gas,SERC,SC:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",687,154832
463,2017,9.0,2017-09-11 17:30:00,2017-09-13 09:30:00,2400.0,Duke Energy Carolinas,SERC,NC: SC:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",365,265729
464,2017,10.0,2017-10-08 03:00:00,,,Southern Company,SERC,AL: FL: MS:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",306,91945
465,2017,10.0,2017-10-09 02:03:00,2017-10-17 13:30:00,12207.0,Pacific Gas & Electric Co,WECC,CA:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather/Transmission Interruption",177,117900
466,2017,10.0,2017-10-09 06:44:00,,,Pacific Gas & Electric Co,WECC,CA:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe Weather,100,
467,2017,10.0,2017-10-12 09:09:00,,,Clarksdale Public Utilities,SERC,MS: Coahoma County;,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,,
468,2017,10.0,2017-10-16 15:45:00,2017-10-16 16:09:00,24.0,Bonneville Power Administration,WECC,WA: MT:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
469,2017,10.0,2017-10-16 15:55:00,2017-10-16 16:10:00,15.0,Peak Reliability,WECC,WA:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
470,2017,10.0,2017-10-20 03:44:00,2017-10-20 03:45:00,1.0,Peak Reliability,WECC,WA:,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-Severe Weather,900,
471,2017,10.0,2017-10-22 08:45:00,2017-10-22 14:00:00,315.0,Entergy Corp,SERC,LA: MS: AR: TX:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,
