data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8629093,48,BHR10110,10110,"22 September 2021",2021,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,"Police Forces of Bahrain (1999-)",,1,15,"Middle East",Bahrain,Northern,,,Karranah,26.2292,50.5094,1,"14 February Revolution Youth Coalition; Al Dair Media",Other-National,"On 22 September 2021, demonstrators, including February 14 Youth Coalition, started fires (presumably setting tires on fire) in Karranah (Northern) against the Bahraini government's decision to normalize relations with Israel. The demonstrators also demanded the release of political prisoners. According to one source, the demonstrators threw rocks at the police. [size=no report]",0,1636407476,BHR
8629287,48,BHR10106,10106,"22 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Muharraq,,,Samahij,26.28,50.635,1,"14 February Revolution Youth Coalition",Other,"On 22 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Samahij (Muharraq) against the Bahraini government's decision to normalize relations with Israel. The protesters also demanded the release of political prisoners. [size=no report]",0,1636407476,BHR
8629301,48,BHR10107,10107,"22 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,Aali,26.1619,50.5164,1,"14 February Revolution Youth Coalition",Other,"On 22 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Aali (Northern) demanding the release of political prisoners. [size=no report]",0,1636407476,BHR
8629303,48,BHR10108,10108,"22 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,"Abu Saybi",26.2175,50.5069,1,"14 February Revolution Youth Coalition",Other,"On 22 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Abu Saybi and Ash Shakhurah (Northern) in rejection of the Bahraini regime's 'superficial' solutions to social issues. [size=no report]",0,1636407476,BHR
8629311,48,BHR10109,10109,"22 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,"Ash Shakhurah",26.2147,50.5069,1,"14 February Revolution Youth Coalition",Other,"On 22 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Abu Saybi and Ash Shakhurah (Northern) in rejection of the Bahraini regime's 'superficial' solutions to social issues. [size=no report]",0,1636407476,BHR
8819727,48,BHR10104,10104,"20 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Muharraq,,,Samahij,26.28,50.635,1,"AhlulBayt News Agency; Bahrain Alyoum",National-Regional,"On 20 September 2021, protesters, including February 14 Youth Coalition, marched in Samahij (Muharraq) demanding a regime change. [size=no report]",0,1644271364,BHR
8629288,48,BHR10101,10101,"19 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Manama,26.2279,50.5857,1,"14 February Revolution Youth Coalition",Other,"On 19 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Manama and Sanabis (Capital) and in Northern Sehla (Northern) against the Bahraini government's decision to normalize relations with Israel. The protesters also demanded the release of political prisoners. [size=no report]",0,1636407476,BHR
8629293,48,BHR10102,10102,"19 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Sanabis,26.2272,50.5508,1,"14 February Revolution Youth Coalition",Other,"On 19 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Manama and Sanabis (Capital) and in Northern Sehla (Northern) against the Bahraini government's decision to normalize relations with Israel. The protesters also demanded the release of political prisoners. [size=no report]",0,1636407476,BHR
8629319,48,BHR10103,10103,"19 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,"Northern Sehla",26.2026,50.5304,1,"14 February Revolution Youth Coalition",Other,"On 19 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Manama and Sanabis (Capital) and in Northern Sehla (Northern) against the Bahraini government's decision to normalize relations with Israel. The protesters also demanded the release of political prisoners. [size=no report]",0,1636407476,BHR
8629090,48,BHR10092,10092,"17 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Sanabis,26.2272,50.5508,1,"14 February Revolution Youth Coalition; Al Wefaq National Islamic Society; ADHRB","Other-New media","On 17 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Sanabis (Capital) against the Bahraini government's decision to normalize relations with Israel. This came as part of the 'Bahrainis against normalization' initiative taking place a year after the normalization agreement in September 2020. The protesters also demanded the release of political prisoners. [size=no report]",0,1636407476,BHR
